Designator,Footprint,Quantity,Value,LCSC Part #
"A1, ALT1, B1, C1, CAPS1, CTRL1, D16, E1, ESC1, F1, G1, K1, K2, K3, K4, K5, K6, NN1, NN2, NN3, NN4, NN5, NN6, Q1, R1, S1, SHIFT1, SPACE1, TABS1, TT1, V1, W1, WIN1, X1, X2, X3, Y1, Z1, `1",SW_Cherry_MX_1.00u_PCB,39,SW_Push,
BT1,BatteryHolder_Keystone_1057_1x2032,1,Battery,
"D1, D10, D11, D12, D13, D14, D15, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D5, D6, D7, D8, D9",D_DO-41_SOD81_P7.62mm_Horizontal,39,D,
"R14, R2",0805,2,R,
U1,modified-XIAO-nRF52840-SMD,1,XIAO-nRF52840-SMD,
