Designator,Footprint,Quantity,Value,LCSC Part #
"*1, +1, -2, .2, /1, CTRLT1, CTRLW1, DELETE2, END1, ENTER2, HOME1, INSTERT1, N0\1, N10, N11, N2, N3, N4, N5, N6, N7, N8, N9, NUMLOCK1, PAUSE1, PGDN1, PRTSCRN1, SCRLCK1, VOLDOWN1, VOLUP1",SW_Cherry_MX_1.00u_PCB,30,SW_Push,
BT3,BatteryHolder_Keystone_1057_1x2032,1,Battery,
"D100, D101, D102, D103, D104, D105, D106, D107, D108, D109, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89, D90, D91, D92, D93, D94, D95, D96, D97, D98, D99",D_DO-41_SOD81_P7.62mm_Horizontal,30,D,
"R5, R6",0805,2,R,
U4,modified-XIAO-nRF52840-SMD,1,XIAO-nRF52840-SMD,
