Designator,Footprint,Quantity,Value,LCSC Part #
"'1, *1, +1, ,1, -1, -2, .1, .2, //1, /1, ;1, =1, A1, ALT1, B1, BACK1, C1, CAPS1, CTRL1, CTRLT1, CTRLW1, D16, DELETE1, DELETE2, DOWN1, E1, END1, ENTER1, ENTER2, ESC1, F1, F10\1, F2, F3, F4, F5, G1, H9, HOME1, I1, INSTERT1, J1, K1, K2, K3, K4, K5, K6, K7, KF1, L1, LEFT1, M1, N0\1, N1, N10, N11, N2, N3, N4, N5, N6, N7, N8, N9, NN1, NN10, NN2, NN3, NN4, NN5, NN6, NN7, NN8, NN9, NUMLOCK1, O1, P1, PAUSE1, PGDN1, PRTSCRN1, Q1, R1, RIGHT1, S1, SCRLCK1, SHIFT1, SPACE1, TABS1, TT1, U3, UP1, V1, VOLDOWN1, VOLUP1, W1, WIN1, X1, X2, X3, X4, Y1, Z1, ZSHIFT1, [1, \1, ]1, `1",SW_Cherry_MX_1.00u_PCB,108,SW_Push,
"BT1, BT2, BT3",BatteryHolder_Keystone_1057_1x2032,3,Battery,
"D1, D10, D100, D101, D102, D103, D104, D105, D106, D107, D108, D109, D11, D12, D13, D14, D15, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89, D9, D90, D91, D92, D93, D94, D95, D96, D97, D98, D99",D_DO-41_SOD81_P7.62mm_Horizontal,108,D,
"R14, R2, R3, R4, R5, R6",0805,6,R,
"U1, U2, U4",modified-XIAO-nRF52840-SMD,3,XIAO-nRF52840-SMD,
